Mon Mar 18 13:58:24 2019
1552931904.5386846
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1552932082.6254914
1_1, 5, 100, 1552932685.7077937
1_2, 1, 100, 1552932812.264448
Baseline, , 180, 1552933008.5680766
2_1, 4, 60, 1552933210.9693146
2_2, 3, 60, 1552933389.6331792
2_3, 1, 60, 1552933532.0944238
2_4, 5, 80, 1552933699.57417
2_5, 2, 60, 1552933853.1725283
