Wed Mar 20 09:07:34 2019
1553087254.171869
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553087439.1833682
1_1, 5, 100, 1553087930.028448
1_2, 1, 100, 1553088059.7934232
Baseline, , 180, 1553088247.473189
2_1, 4, 80, 1553088461.6346033
2_2, 5, 70, 1553088651.5385919
2_3, 2, 60, 1553088802.9217286
2_4, 3, 70, 1553088945.8880239
2_5, 1, 80, 1553089115.286962
