Fri Mar 22 13:01:56 2019
1553274116.522169
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553274347.8600714
1_1, 5, 100, 1553275027.6422672
1_2, 1, 100, 1553275160.8555872
Baseline, , 180, 1553275396.6501641
2_1, 5, 70, 1553275616.9311903
2_2, 3, 80, 1553275828.540349
2_3, 2, 70, 1553276009.0924025
2_4, 4, 60, 1553276170.1385055
2_5, 1, 80, 1553276332.4177315
