Mon Jan 28 14:48:30 2019
1548704910.3395257
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1548705040.414532
1_1, 5, 100, 1548705610.3425188
1_2, 1, 100, 1548705744.5879421
Baseline, , 180, 1548705979.4224234
2_1, 4, 70, 1548706181.1115901
2_2, 3, 80, 1548706403.1607928
2_3, 2, 70, 1548706620.3705115
2_4, 1, 80, 1548706805.041977
2_5, 5, 70, 1548706974.0008712
