Wed Mar 13 16:00:05 2019
1552507205.098269
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1552507403.9501522
1_1, 1, 100, 1552507966.2383754
1_2, 5, 100, 1552508101.8839386
Baseline, , 180, 1552508290.2837765
2_1, 4, 80, 1552508476.6374102
2_2, 2, 60, 1552508668.0605505
2_3, 5, 60, 1552508823.4030833
2_4, 3, 60, 1552508968.456587
2_5, 1, 80, 1552509096.2223623
