Wed Feb  6 14:09:33 2019
1549480173.4720578
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1549480307.187428
1_1, 1, 100, 1549480880.5077543
1_2, 5, 100, 1549481031.1938214
2_1, 4, 80, 1549481284.9481943
2_2, 3, 70, 1549481550.8557825
Baseline, , 180, 1549481748.6705618
2_3, 2, 80, 1549481924.110104
2_4, 1, 70, 1549482118.8145726
2_5, 5, 70, 1549482285.245214
