Thu Mar 21 12:01:17 2019
1553184077.0040524
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553184285.8799381
1_1, 1, 100, 1553184728.1551611
1_2, 5, 100, 1553184872.889633
Baseline, , 180, 1553185052.4505875
2_1, 2, 70, 1553185264.1137516
2_2, 3, 80, 1553185464.1547537
2_3, 5, 60, 1553185624.0977464
2_4, 1, 60, 1553185777.0240374
2_5, 4, 60, 1553185921.2704606
