Fri Mar 29 15:27:32 2019
1553887652.233061
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553887818.919728
1_1, 1, 100, 1553888320.2806182
1_2, 5, 100, 1553888458.04963
Baseline, , 180, 1553888680.522875
2_1, 2, 70, 1553888871.602981
2_2, 4, 60, 1553889043.7701962
2_3, 3, 70, 1553889188.4566634
2_4, 1, 60, 1553889343.310147
2_5, 5, 60, 1553889468.3956544
