Wed Mar 13 16:53:27 2019
1552510407.5444815
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1552510546.64439
1_1, 5, 100, 1552510870.786801
1_2, 1, 100, 1552511000.4557667
Baseline, , 180, 1552511170.1197314
2_1, 1, 70, 1552511348.495567
2_2, 5, 70, 1552511538.7755933
2_3, 2, 70, 1552511699.6316772
2_4, 3, 60, 1552511850.9008029
2_5, 4, 60, 1552512030.812792
