Tue Mar 19 09:59:53 2019
1553003993.4217112
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553004117.3861063
1_1, 5, 100, 1553004686.5130134
1_2, 1, 100, 1553004816.7980406
Baseline, , 180, 1553005048.4402025
2_1, 1, 80, 1553005236.9280493
2_2, 5, 70, 1553005429.8483396
2_3, 2, 80, 1553005611.0084536
2_4, 3, 60, 1553005792.6486156
2_5, 4, 70, 1553005933.6467142
