Sat Feb  2 12:14:14 2019
1549127654.0291176
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1549127658.6275775
1_1, 5, 100, 1549128240.3947484
1_2, 1, 100, 1549128368.0805156
2_1, 5, 60, 1549128633.4760525
2_2, 1, 60, 1549128810.0997133
Baseline, , 180, 1549128956.930395
2_3, 4, 60, 1549129129.9936993
2_4, 2, 80, 1549129260.9347923
2_5, 3, 80, 1549129405.8212795
