Thu Feb  7 18:17:25 2019
1549581445.9071865
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1549582798.0442374
Baseline, , 180, 1549583095.5769877
1_1, 5, 100, 1549583395.7293289
1_2, 1, 100, 1549583532.8487058
2_1, 4, 80, 1549583899.768394
2_2, 5, 60, 1549584166.1460292
2_3, 2, 60, 1549584341.9776106
2_4, 1, 70, 1549584508.1762288
2_5, 3, 80, 1549584660.831493
