Wed Mar 13 15:07:41 2019
1552504061.873992
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1552504306.3364358
demo, 3, 60, 1552504428.9176927
1_1, 5, 100, 1552504755.235321
1_2, 1, 100, 1552504881.624959
Baseline, , 180, 1552505020.341829
2_1, 2, 70, 1552505320.0267947
2_2, 3, 60, 1552505505.6302133
2_3, 1, 60, 1552505654.1609776
2_4, 5, 60, 1552505790.6512702
2_5, 4, 70, 1552505937.1514869
