Wed Mar 27 11:30:18 2019
1553700618.2425125
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553700795.875274
1_1, 5, 100, 1553701266.2383056
1_2, 1, 100, 1553701396.5483353
Baseline, , 180, 1553701596.8763661
2_1, 2, 70, 1553701795.7412505
2_2, 4, 60, 1553701985.5092254
2_3, 3, 70, 1553702144.6281357
2_4, 1, 70, 1553702287.8834598
2_5, 5, 80, 1553702435.3042004
