Tue Feb 12 15:31:17 2019
1550003477.9434757
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1550003485.9012716
1_1, 1, 100, 1550003970.786755
1_2, 5, 100, 1550004267.5994334
Baseline, , 180, 1550004455.1591878
2_1, 4, 80, 1550004658.50352
2_2, 2, 70, 1550004846.560324
2_3, 3, 60, 1550004999.7746437
2_4, 5, 80, 1550005147.0763724
2_5, 1, 60, 1550005294.0430677
