Fri Jan 11 13:07:14 2019
1547230034.7608495
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1547230499.4183104
1_1, 1, 100, 1547231017.6891322
1_2, 5, 100, 1547231385.00086
Baseline, , 180, 1547231710.0943658
2_1, 5, 60, 1547231931.8075352
2_2, 4, 60, 1547232243.909742
2_3, 2, 70, 1547232501.1844673
2_4, 1, 80, 1547232666.9590428
2_5, 3, 70, 1547232887.271072
