Thu Jan 17 13:20:52 2019
1547749252.1959414
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1547749488.8996093
1_1, 5, 100, 1547749983.4330578
1_2, 1, 100, 1547750117.438457
Baseline, , 180, 1547750396.9214027
2_1, 1, 60, 1547750577.0894175
2_2, 3, 60, 1547750772.8179884
2_3, 4, 60, 1547750952.0409088
2_4, 5, 70, 1547751091.974901
2_5, 2, 80, 1547751244.262128
