Thu Mar 21 11:02:17 2019
1553180537.615149
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553180584.0117884
1_1, 1, 100, 1553180994.1247954
1_2, 5, 100, 1553181146.307012
Baseline, , 180, 1553181348.3312125
2_1, 3, 70, 1553181545.786956
2_2, 4, 80, 1553181708.8412597
2_3, 5, 60, 1553181868.76025
2_4, 1, 80, 1553182010.5904317
2_5, 2, 70, 1553182165.036875
