Wed Jan 30 10:23:56 2019
1548861836.585365
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1548861846.1433206
1_1, 5, 100, 1548862366.3413353
1_2, 1, 100, 1548862496.9383936
2_1, 1, 80, 1548862724.2201195
2_2, 3, 70, 1548862910.5487506
Baseline, , 180, 1548863062.5869527
2_3, 4, 70, 1548863241.1308055
2_4, 5, 70, 1548863382.240915
2_5, 2, 60, 1548863523.4070303
