Fri Mar 29 14:26:47 2019
1553884007.2443223
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1553884180.064167
1_1, 1, 100, 1553884646.2469237
1_2, 5, 100, 1553884789.1749237
Baseline, , 180, 1553885006.4255068
2_1, 1, 60, 1553885213.8102431
2_2, 3, 70, 1553885366.3364944
2_3, 2, 60, 1553885515.1353729
2_4, 4, 60, 1553885633.6432223
2_5, 5, 60, 1553885755.1443713
