Fri Feb  8 14:52:55 2019
1549655575.0321145
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1549655590.0056117
1_1, 1, 100, 1549656154.1570213
1_2, 5, 100, 1549656286.4742515
2_1, 3, 70, 1549656749.2225218
2_2, 1, 70, 1549657089.1443174
Baseline, , 180, 1549657262.469066
2_3, 4, 60, 1549657433.4462545
2_4, 2, 60, 1549657611.188696
2_5, 5, 80, 1549657806.6042352
