Mon Feb  4 13:40:57 2019
1549305657.572476
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1549305682.5209706
1_1, 1, 100, 1549306073.2570405
1_2, 5, 100, 1549306204.5981731
Baseline, , 180, 1549306377.7484865
2_1, 4, 70, 1549306578.9736068
2_2, 1, 70, 1549306745.4932573
2_3, 2, 80, 1549306888.3705437
2_4, 3, 60, 1549307038.9295979
2_5, 5, 60, 1549307160.5977635
