Thu Jan 24 17:13:54 2019
1548368034.6601686
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1548368092.5799603
1_1, 5, 100, 1548368713.8540814
1_2, 1, 100, 1548368856.9963942
Baseline, , 180, 1548369113.7350657
2_1, 4, 70, 1548369353.4970393
2_2, 3, 70, 1548369563.2100086
2_3, 5, 60, 1548369760.8507707
2_4, 1, 80, 1548369939.233607
2_5, 2, 70, 1548370115.6252444
