Wed Feb 13 12:19:26 2019
1550078366.7107184
Condition, Crowding_level, duration, start_time
demo, 3, 60, 1550078379.6600132
Baseline, , 180, 1550078789.6290061
1_1, 5, 100, 1550078984.0454457
1_2, 1, 100, 1550079112.6833084
2_1, 3, 70, 1550079320.372075
2_2, 2, 70, 1550079485.9706333
2_3, 1, 80, 1550079629.0169365
2_4, 4, 60, 1550080150.80711
2_5, 5, 70, 1550080305.5585837
